Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
HYDERABAD,"I am a Front End website developer turned Entrepreneur with my venture ""LYRA Video"". I read books, love talking about startups, failures, etc",Startup Founder,IT (my startup industry is Entertainment but Tech plays equal role to content),Product Development,MVP (proof of concept is out with select customers),,I don't have anything in specific because I'm new to the startup world and I have to learn many things no matter they interest me or not. I'd love to connect with different entrepreneurs and investors through Pushstart,I will help others with what I have in my knowledge bag and will lift others along with me. I'd love to mentor people who are even more newbie than me.
Mumbai,CA and CS and startup and blockchain enthusiast,"Startup Founder, Mentor","Agri Tech, Fin Tech, Food Tech, AI, Blockchain, Online Education","Operations, Community building, Finance",Early Growth (seeking seed/angel funding),,Wish to know people who are into e-leanring business ,To share my experience and knowledge 
Karachi,Well i have a website name facechill.com and i need entrepreneurs and businessmans to  signup on my paltform.,"Startup Founder, Working Professional",Network/system engineer,Network and system ,Need signups of entrepreneurs ,,I need entrepreneurs around the world to signup on my website and use it as its goals are,I need people comes to my website and signup and also my video can be played which is on youtube https://www.youtube.com/watch?v=Ocy4bcJ6ZU4
Pune/Mumbai,"Highly creative, confident and competent marketing & advertising professional with over 11 years of experience in Brand Management, Strategic Planning, Corporate/Animation Film Production, conceptualizing & implementing offline/digital Marketing and Advertising campaigns across various Industry verticals like Software, Technology, Health Care, FMCG, Real Estate, Travel & Hospitality, Manufacturing and others.","Working Professional, Mentor","VR, AR","Product Development, Product Design, Digital Marketing",Don't have a startup,Mentor ,Insights to start up from ideation to execution,leveraging my expertise of working with start ups across various domains and operational levels
Bangalore,,Working Professional,"Health Tech, IAM",Product Development,Don't have a startup,,to work in start ups,technology & ideas
Bengaluru,,Startup Founder,HR,Product Development,working towards an MVP. MVP to be launched by End of August,,"Seeking co-founders, Technical & Business/Strategy",Product development & Marketing 
"Noida, UP",,"Working Professional, freelancer",AI,Digital Marketing,Ideation (brainstorming around few ideas),,want to learn ,I have 15 years of experience in Web Development. I can share my experience 
Pune ,"A 21 year old young entrepreneur, initiated a chai tech startup in Pune. ",Startup Founder,Food Tech,"Sales, Digital Marketing",Ideation (brainstorming around few ideas),"mentor to help articulate the idea, offline store investor",Connecting with people in Pune ,Helping with my connections 
Hyderabad,A Biomedical engineer. Voracious appetite for books and coffee. Interested in content and technical writing opportunities. ,Under-Graduate Student,"Health Tech, Engineering ","Operations, Content development and management",Don't have a startup,,Looking for opportunities to sharpen content writing and media management ability ,"I can help build and manage relevant content on organization websites or social media handles, if any. Could be anything ranging from blog posts, to product description, to social media account handling. "
HYDERABAD,,Working Professional,IT ,"Sales, Product Design, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,networking,ideas
gurgaon,A professional looking for transformational role ,"Startup Founder, Mentor, freelancer","Fin Tech, AR, AI","Operations, Sales",Early Growth (seeking seed/angel funding),,Employment,As a mentor and project management
Mumbai,,Under-Graduate Student,CA,"Sales, Digital Marketing, CA",Ideation (brainstorming around few ideas),,Creation of a pool of new entrepreneurs with ideas. ,"Provide help of any kind when and where required, as much as possible. "
Chennai,,Working Professional,"AI, Blockchain",Product Development,Don't have a startup,,Guidance to evolve and develop,Through learnt expertise and knowledge
Bangalore ,"Writer, editor and foodie. Living with 15 % vision and Eager to see and talk as much before it's all gone due to glucoma.","Working Professional, freelancer","AI, Blockchain,  Content writing and marketing","Digital Marketing, IT and tech ",Don't have a startup,,Leads ,With content writing and white paper or developing a brand story for them.
Delhi,-,Under-Graduate Student,Food Tech,"Operations, Sales, Community building",MVP (proof of concept is out with select customers),,-,-
Mumbai,,"Working Professional, Mentor","Fin Tech, Health Tech, AI, Blockchain","Product Development, Product Design, Digital Marketing, Community building, Functional Expert in finance domain",Ideation (brainstorming around few ideas),,How to proceed further,Be part of it seeking guidance from others and supporting guidance to others in my domain
Gurgaon india,,Working Professional,Marketing/fashion,"Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,Networking and learning,"Content, marketing strategies, connections "
Pune,"Product Engineer with Entrepreneurial DNA. Founder at GoTruein.com, a tech product startup based in Pune. 
At Truein, we help companies to secure their premises, manage visitors and more. Truein is a product-line with tailored made solutions for various industry verticals. The platform is powered by our proprietary inScan technology. 
Prior to Truein, I ran Groupool, a corporate carpooling solution (The product we later sold to India's one of the largest automobiles company). 
Before venturing into business, I worked on various roles at Persistent Systems, TCS and Credit-Suisse. Have strong technology background having built products and team across large organisation.
I am SLP fellow and PL of 2017 batch Pune chapter",Startup Founder,"AI, Enterprise solutions",Product Development,Early Growth (seeking seed/angel funding),investor & PR expert & security investor,Quality network for business growth. Imm is PR freelancer,"Planning product roadmap, processes, building MVP, connecting to other Pune entrepreneurs"
Hyderabad,,Working Professional,AI,Product Development,Don't have a startup,,Job,By sharing my knowledge
Pune Maharashtra,Am a delivery manager and interested in innovations,Working Professional,"Fin Tech, Health Tech",Operations,Ideation (brainstorming around few ideas),na,"Yes, looking for connections in house keeping and food industy",Share my 15 years experience in operations and customer services to overcome operational challenges  
Faridabad ,,My own company ,Electrical industries ,Sales,"Growth (multiple customer, positive revenue, making profits)",,Business leads ,In the business devlopment 
Mumbai,,Startup Founder,Software services and products,"Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,"Yes, looking for angel investment for my HR product startup","Software solution, free consulting "
Mumbai,,Startup Founder,AI,"Sales, Product Development, Product Design, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,Networking ,Provide guidance and expertise 
"Chennai,Tami Nadu",Business enthusiast with an ever learning attitude & solution oriented mindset.,"Under-Graduate Student, Startup Founder",IT,Business Growth & Strategy,MVP (proof of concept is out with select customers),,Hope to build network,Can connect to 125 young millennials of India via my student based startup.
jaipur,I'm 23 year old have my startup(MissionKya.com) running since past 2 years and hence looking forward to connect with like minded people.,Startup Founder,Outsourcing and Freelance,"Operations, Sales",Early Growth (seeking seed/angel funding),,"Not specifically, just wanted to connect with like minded people for fruitful conversations","like in many ways, we being a freelancing platform have a lot of things to offer"
Gachibowli Hyderabad,,Post-Graduate Student,AI,Product Development,Don't have a startup,,Reaching out people with brilliant mind and improving myself,Providing reviews
"Whitefield, Bengaluru",,Startup Founder,"Blockchain, Security","Product Development, Product Design",Ideation (brainstorming around few ideas),,"sales, marketing and feedback",With my domain expertise in information security and product design
