,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
119,an engineer having a strong penchant for technology in the developing world and a product leader committed to advocating for the user formerly worked as a business sales strategist in a travel based startup in the uk i am determined instigator of change having much interested in politics psychology and economics,"Startup Founder, Mentor, freelancer",Under development,,Looking for a tech guy to be a founder/ working on mean stack,"Business development, business analyst, building sales channel, marketer -digital and in market",Hyderabad, Sri nagar Colony( yousufguda),Operations, Sales, Product Development, Marketing, sales strategist ,Food Tech, E-commerce, marketplace ,,,,,,
120,nan,"Working Professional, freelancer","Growth (multiple customer, positive revenue, making profits)",,Possible opportunities for contribution to innovative IoT solutions,Can provide help with taking IoT solutions from ideation phase to market,Hitech City, Hyderabad ,Product Development,,,,,IoT,,,,,,,,
121,entrepreneurship,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Mentorship and networking,Product building and marketing,Hyderabad,,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building, Organisation management",Fin Tech, Internet products,,,,,,,
122,nan,"Under-Graduate Student, Startup Founder",Ideation (brainstorming around few ideas),,Idea Validation ,Professional contacts ,Hyderabad,,Operations,,,,,Marketing and Management ,,,,,,,,
123,nan,"Startup Founder, Working Professional, freelancer",Ideation (brainstorming around few ideas),,Contacts ,Digital marketing and WordPress website development,Chennai,,Product Development, Digital Marketing,,,,Chemical Engineering,,,,,,,,
124,i am a ceo of euphorie eworld recently i start new setup in pune,"Startup Founder, Working Professional, freelancer","Growth (multiple customer, positive revenue, making profits)",digital marketing founder of a huge company,Connect building ,My expertise (digital marketing) ,Pune ,,Sales, Digital Marketing, Community building,,,Health Tech, Food Tech, AI,,,,,,
125,nan,Startup Founder,Ideation (brainstorming around few ideas),,Networking,Providing help with mentorship and resources.,Hyderabad,,Digital Marketing,,,,,Computer Vision,,,,,,,,
126,nan,Mentor,Don't have a startup,,"Networking, funding etc","Consulting, mentoring etc",Sanjeeva Reddy Nagar,,Operations, Sales, Digital Marketing, Community building,,Agri Tech, Food Tech,,,,,,,
127,nan,"Working Professional, freelancer",POC is ready.Patent to be taken,,"I want to learn at every point of time.For now,I am looking for funding.I need some knowledge on startup strategies.","I can help in mentoring to develop ideas,concepts in the area of my subject expertise.Also I help people seeking for internships,jobs,competition and contests,student programs with companies.I can help them in learning designing and get them exact resources.",Hyderabad,,Product Development, Product Design, Digital Marketing, Patent Illustrations,,Patent Designs,product designs,Mechanical Designs,,,,,,
128,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Nothing Specific,Help with marketing and data analysis,Santiago / Hyderabad,,Digital Marketing,,,,,SaaS,,,,,,,,
129,i am a front end website developer turned entrepreneur with my venture lyra video i read books love talking about startups failures etc,Startup Founder,MVP (proof of concept is out with select customers),,I don't have anything in specific because I'm new to the startup world and I have to learn many things no matter they interest me or not. I'd love to connect with different entrepreneurs and investors through Pushstart,I will help others with what I have in my knowledge bag and will lift others along with me. I'd love to mentor people who are even more newbie than me.,HYDERABAD,,Product Development,,,,,IT (my startup industry is Entertainment but Tech plays equal role to content),,,,,,,,
130,ca and cs and startup and blockchain enthusiast,"Startup Founder, Mentor",Early Growth (seeking seed/angel funding),,Wish to know people who are into e-leanring business ,To share my experience and knowledge ,Mumbai,,Operations, Community building, Finance,,,Agri Tech, Fin Tech, Food Tech, AI, Blockchain, Online Education,,,
131,well i have a website name facechillcom and i need entrepreneurs and businessmans to signup on my paltform,"Startup Founder, Working Professional",Need signups of entrepreneurs ,,I need entrepreneurs around the world to signup on my website and use it as its goals are,I need people comes to my website and signup and also my video can be played which is on youtube https://www.youtube.com/watch?v=Ocy4bcJ6ZU4,Karachi,,Network and system ,,,,,Network/system engineer,,,,,,,,
132,highly creative confident and competent marketing  advertising professional with over 11 years of experience in brand management strategic planning corporateanimation film production conceptualizing  implementing offlinedigital marketing and advertising campaigns across various industry verticals like software technology health care fmcg real estate travel  hospitality manufacturing and others,"Working Professional, Mentor",Don't have a startup,Mentor ,Insights to start up from ideation to execution,leveraging my expertise of working with start ups across various domains and operational levels,Pune/Mumbai,,Product Development, Product Design, Digital Marketing,,,VR, AR,,,,,,,
133,nan,Working Professional,Don't have a startup,,to work in start ups,technology & ideas,Bangalore,,Product Development,,,,,Health Tech, IAM,,,,,,,
134,nan,Startup Founder,working towards an MVP. MVP to be launched by End of August,,"Seeking co-founders, Technical & Business/Strategy",Product development & Marketing ,Bengaluru,,Product Development,,,,,HR,,,,,,,,
135,nan,"Working Professional, freelancer",Ideation (brainstorming around few ideas),,want to learn ,I have 15 years of experience in Web Development. I can share my experience ,Noida, UP,Digital Marketing,,,,,AI,,,,,,,,
136,a 21 year old young entrepreneur initiated a chai tech startup in pune,Startup Founder,Ideation (brainstorming around few ideas),"mentor to help articulate the idea, offline store investor",Connecting with people in Pune ,Helping with my connections ,Pune ,,Sales, Digital Marketing,,,,Food Tech,,,,,,,,
137,a biomedical engineer voracious appetite for books and coffee interested in content and technical writing opportunities,Under-Graduate Student,Don't have a startup,,Looking for opportunities to sharpen content writing and media management ability ,"I can help build and manage relevant content on organization websites or social media handles, if any. Could be anything ranging from blog posts, to product description, to social media account handling. ",Hyderabad,,Operations, Content development and management,,,,Health Tech, Engineering ,,,,,,,
138,nan,Working Professional,Early Growth (seeking seed/angel funding),,networking,ideas,HYDERABAD,,Sales, Product Design, Digital Marketing, Community building,,IT ,,,,,,,,
139,a professional looking for transformational role,"Startup Founder, Mentor, freelancer",Early Growth (seeking seed/angel funding),,Employment,As a mentor and project management,gurgaon,,Operations, Sales,,,,Fin Tech, AR, AI,,,,,,
140,nan,Under-Graduate Student,Ideation (brainstorming around few ideas),,Creation of a pool of new entrepreneurs with ideas. ,"Provide help of any kind when and where required, as much as possible. ",Mumbai,,Sales, Digital Marketing, CA,,,CA,,,,,,,,
141,nan,Working Professional,Don't have a startup,,Guidance to evolve and develop,Through learnt expertise and knowledge,Chennai,,Product Development,,,,,AI, Blockchain,,,,,,,
142,writer editor and foodie living with 15  vision and eager to see and talk as much before its all gone due to glucoma,"Working Professional, freelancer",Don't have a startup,,Leads ,With content writing and white paper or developing a brand story for them.,Bangalore ,,Digital Marketing, IT and tech ,,,,AI, Blockchain,  Content writing and marketing,,,,,,
143,,Under-Graduate Student,MVP (proof of concept is out with select customers),,-,-,Delhi,,Operations, Sales, Community building,,,Food Tech,,,,,,,,
144,nan,"Working Professional, Mentor",Ideation (brainstorming around few ideas),,How to proceed further,Be part of it seeking guidance from others and supporting guidance to others in my domain,Mumbai,,Product Development, Product Design, Digital Marketing, Community building, Functional Expert in finance domain,Fin Tech, Health Tech, AI, Blockchain,,,,,
145,nan,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,Networking and learning,"Content, marketing strategies, connections ",Gurgaon india,,Digital Marketing, Community building,,,,Marketing/fashion,,,,,,,,
146,product engineer with entrepreneurial dna founder at gotrueincom a tech product startup based in pune at truein we help companies to secure their premises manage visitors and more truein is a productline with tailored made solutions for various industry verticals the platform is powered by our proprietary inscan technology prior to truein i ran groupool a corporate carpooling solution the product we later sold to indias one of the largest automobiles company before venturing into business i worked on various roles at persistent systems tcs and creditsuisse have strong technology background having built products and team across large organisation i am slp fellow and pl of 2017 batch pune chapter,Startup Founder,Early Growth (seeking seed/angel funding),investor & PR expert & security investor,Quality network for business growth. Imm is PR freelancer,"Planning product roadmap, processes, building MVP, connecting to other Pune entrepreneurs",Pune,,Product Development,,,,,AI, Enterprise solutions,,,,,,,
147,nan,Working Professional,Don't have a startup,,Job,By sharing my knowledge,Hyderabad,,Product Development,,,,,AI,,,,,,,,
148,am a delivery manager and interested in innovations,Working Professional,Ideation (brainstorming around few ideas),na,"Yes, looking for connections in house keeping and food industy",Share my 15 years experience in operations and customer services to overcome operational challenges  ,Pune Maharashtra,,Operations,,,,,Fin Tech, Health Tech,,,,,,,
149,nan,My own company ,"Growth (multiple customer, positive revenue, making profits)",,Business leads ,In the business devlopment ,Faridabad ,,Sales,,,,,Electrical industries ,,,,,,,,
150,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,"Yes, looking for angel investment for my HR product startup","Software solution, free consulting ",Mumbai,,Operations, Sales,,,,Software services and products,,,,,,,,
